"id","percent_dem","total_votes","name","x0001e","x0002e","x0003e","x0005e","x0006e","x0007e","x0008e","x0009e","x0010e","x0011e","x0012e","x0013e","x0014e","x0015e","x0016e","x0017e","x0018e","x0019e","x0020e","x0021e","x0022e","x0023e","x0024e","x0025e","x0026e","x0027e","x0029e","x0030e","x0031e","x0033e","x0034e","x0035e","x0036e","x0037e","x0038e","x0039e","x0040e","x0041e","x0042e","x0043e","x0044e","x0045e","x0046e","x0047e","x0048e","x0049e","x0050e","x0051e","x0052e","x0053e","x0054e","x0055e","x0056e","x0057e","x0058e","x0059e","x0060e","x0061e","x0062e","x0064e","x0065e","x0066e","x0067e","x0068e","x0069e","x0071e","x0072e","x0073e","x0074e","x0075e","x0076e","x0077e","x0078e","x0079e","x0080e","x0081e","x0082e","x0083e","x0084e","x0085e","x0086e","x0087e","x0088e","x0089e","c01_001e","c01_002e","c01_003e","c01_004e","c01_005e","c01_006e","c01_007e","c01_008e","c01_009e","c01_010e","c01_011e","c01_012e","c01_013e","c01_014e","c01_015e","c01_016e","c01_017e","c01_018e","c01_019e","c01_020e","c01_021e","c01_022e","c01_023e","c01_024e","c01_025e","c01_026e","c01_027e","income_per_cap_2016","income_per_cap_2017","income_per_cap_2018","income_per_cap_2019","income_per_cap_2020","gdp_2016","gdp_2017","gdp_2018","gdp_2019","gdp_2020","x2013_code"
15,43.7418796015591,9236,"Winston County, Mississippi",18116,8800,9316,942,1109,1270,1255,941,1961,2263,2165,1135,1386,2102,1132,455,41.5,4065,14449,14051,13163,4575,3689,14051,6754,7297,3689,1592,2097,18116,17905,211,17905,9117,8544,178,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,60,211,162,3,0,0,9315,8706,194,6,0,106,244,185,0,0,59,17872,9028,8501,178,6,0,0,159,0,159,8781,13991,6694,7297,1452,359,445,632,16,12599,753,1241,4751,2584,1241,1373,656,10605,2029,1961,1734,281,2263,1978,340,4686,4011,589,3689,2882,819,"32823","34753","35469","37305","39796","492663","519117","536330","540523","516770",6
18,24.2834809796769,19190,"Noble County, Indiana",47640,23950,23690,3084,3305,3335,3121,2885,5763,5723,6212,3685,3009,4630,1983,905,38.9,11773,37205,35867,34278,9323,7518,35867,17904,17963,7518,3434,4084,47640,46235,1405,46235,45186,301,26,1,0,0,5,327,6,77,31,0,20,165,28,33,0,0,0,33,362,1405,345,242,49,0,46524,705,301,411,49,1115,4974,4630,141,57,146,42666,41363,301,26,327,33,33,583,50,533,20659,34233,17085,17148,3957,858,1749,1081,269,31910,2777,2376,12740,6382,2716,3485,1434,26757,4919,5763,4842,1024,5723,4409,641,12906,11101,2078,7518,6405,1176,"37288","38877","40222","41110","44250","1920408","1878515","1968534","2009691","1946347",5
19,24.5112124430008,16009,"Warren County, Tennessee",40971,20463,20508,2455,2719,2616,2722,2367,4999,5134,5289,2791,2750,4164,2244,721,40.1,9660,32579,31311,29893,8702,7129,31311,15352,15959,7129,3216,3913,40971,39584,1387,39584,36702,1078,98,66,0,0,6,309,46,91,74,75,5,5,13,127,0,1,126,0,1270,1387,580,232,79,0,38067,1680,349,399,130,1748,3770,3166,162,127,315,37201,34744,987,98,309,127,21,915,73,842,18018,29766,14220,15546,3219,467,1493,1132,127,28092,1894,3180,12574,4923,1684,2501,1336,23018,3837,4999,4417,694,5134,4317,787,10830,8942,1630,7129,5342,726,"32956","33742","34645","36188","38892","1504574","1431187","1431338","1450383","1413993",5
22,19.3077861353934,19676,"Highland County, Ohio",43080,21047,22033,2731,2585,3073,2915,2305,4811,5043,5764,2889,3085,4547,2331,1001,40.9,10281,34084,32799,31325,9654,7879,32799,15804,16995,7879,3514,4365,43080,42232,848,42232,41203,671,113,54,10,0,0,139,0,88,8,43,0,0,0,0,0,0,0,0,106,848,393,155,20,4,42037,1152,343,190,17,277,513,147,78,47,241,42567,40926,633,112,139,0,32,725,57,668,19321,32647,15779,16868,3328,900,1484,816,128,29471,1482,3153,12866,4806,3098,2275,1791,24836,4066,4811,4161,796,5043,4291,679,11738,10040,1589,7879,6344,1002,"33310","35065","36223","37462","41304","1113880","1249156","1293341","1415616","1522241",6
23,22.2732280572898,5446,"Magoffin County, Kentucky",12346,6183,6163,810,717,841,690,656,1436,1480,1743,781,1057,1300,595,240,41.8,2851,9739,9495,9025,2768,2135,9495,4684,4811,2135,990,1145,12346,12220,126,12220,12158,0,11,11,0,0,0,47,0,47,0,0,0,0,0,0,0,0,0,0,4,126,0,42,0,0,12284,0,53,47,0,88,138,112,0,0,26,12208,12077,0,11,47,0,0,73,31,42,6106,9491,4680,4811,863,139,307,342,75,8632,1257,1182,3252,1565,473,446,457,6193,903,1436,1225,172,1480,1210,185,3581,2495,320,2135,1263,226,"29530","30748","32481","34157","39470","156302","149887","161737","169079","164247",6
25,45.4061386459346,49392,"LaPorte County, Indiana",110026,56673,53353,6500,6391,6704,6221,6927,14426,13524,14268,7707,7896,11705,5566,2191,40.3,23666,88992,86360,82932,24470,19462,86360,44645,41715,19462,8620,10842,110026,105293,4733,105293,90123,11736,319,25,11,0,0,744,116,52,247,53,57,14,205,26,0,13,13,0,2345,4733,2710,413,264,12,94653,14705,844,1015,27,3678,7510,5266,916,43,1285,102516,86458,11588,288,728,5,109,3340,292,3048,49231,84596,43557,41039,9077,1854,3956,2351,916,77283,2095,6174,30479,16718,7056,10057,4704,69014,14761,14426,12486,2610,13524,12144,2407,29871,27326,5825,19462,17058,3919,"38668","39804","41328","42076","45323","4006596","4065045","4373655","4259550","4078102",4
26,17.5241805480924,14888,"Lincoln County, Oklahoma",34936,17378,17558,2047,2482,2332,2319,1787,3914,4041,4457,2688,2401,3725,2246,497,41.1,8334,27665,26602,25560,7727,6468,26602,13106,13496,6468,2967,3501,34936,32940,1996,32940,29509,646,2556,580,15,6,0,84,0,0,47,16,0,11,10,20,0,5,0,15,125,1996,244,1243,129,166,31310,1125,4038,264,50,236,1228,1034,22,0,172,33708,28610,635,2446,65,15,40,1897,50,1847,15433,26401,12996,13405,2633,510,1292,748,83,23969,650,2180,9938,5797,1897,2490,1017,21139,3507,3914,3519,434,4041,3670,768,9546,8412,1478,6468,5538,827,"34767","35451","36665","38990","41876","704505","700953","778930","857034","861063",2
27,33.7682715335701,48436,"Dodge County, Wisconsin",87569,45746,41823,4060,4385,5652,5005,4749,10670,11283,12461,7445,6351,8690,4114,2704,43,17378,72236,70191,67462,19389,15508,70191,36937,33254,15508,7034,8474,87569,85363,2206,85363,81400,2378,278,1,119,0,0,561,180,51,189,24,52,3,62,69,25,0,7,37,677,2206,664,408,218,8,83549,3242,860,857,90,1419,4387,3799,295,52,241,83182,78421,2362,248,535,62,33,1521,128,1393,37942,69226,36373,32853,6473,1035,2704,2192,542,63718,1524,4080,25610,13417,7621,7993,3473,58114,11466,10670,9942,2170,11283,10485,2234,26257,24266,4570,15508,13421,2492,"40776","41984","43473","45199","47937","3505079","3662715","3729822","3840973","3844366",5
29,11.5889691398555,9138,"Tishomingo County, Mississippi",19396,9369,10027,1046,1130,1270,1159,1101,2210,2092,2737,1134,1518,2334,1237,428,43.2,4177,15666,15219,14408,4990,3999,15219,7208,8011,3999,1774,2225,19396,18820,576,18820,18207,544,28,24,0,0,0,10,5,0,0,0,0,0,5,0,0,0,0,0,31,576,57,60,29,0,18782,602,88,39,0,461,631,486,8,0,137,18765,17856,537,28,10,0,4,330,184,146,10444,14928,7193,7735,1529,185,480,805,59,13690,1302,1497,5096,2622,1558,1030,585,10891,1615,2210,2101,400,2092,1762,272,5389,4176,615,3999,2852,328,"31992","32443","34633","35811","38796","454171","485309","540435","589487","598748",6
30,17.9527836504581,5676,"Madison County, Missouri",12176,6025,6151,672,769,799,862,609,1445,1387,1559,938,840,1279,762,255,41.9,2840,9768,9336,9009,2803,2296,9336,4524,4812,2296,1065,1231,12176,11923,253,11923,11735,77,29,0,0,0,0,43,0,0,42,0,0,0,1,0,0,0,0,0,39,253,12,119,81,0,11988,89,148,124,1,79,289,167,119,0,3,11887,11525,77,29,43,0,0,213,0,213,5984,9323,4521,4802,871,145,325,343,58,8465,407,778,3427,1834,827,762,430,7280,1192,1445,1271,245,1387,1297,214,3337,2958,513,2296,1754,220,"33491","33877","34528","36166","39546","258861","283499","296536","312940","305462",6
31,19.9764289923394,3394,"Clark County, Missouri",6783,3447,3336,388,448,445,368,334,671,764,861,557,493,818,421,215,44.4,1550,5360,5233,5034,1688,1454,5233,2623,2610,1454,665,789,6783,6703,80,6703,6563,19,12,1,0,0,6,89,58,0,0,0,21,10,0,0,0,0,0,0,20,80,15,23,0,12,6631,46,47,89,0,50,53,42,11,0,0,6730,6544,19,12,89,0,0,66,28,38,3503,5213,2623,2590,433,114,159,142,18,4800,158,490,2257,856,453,358,228,4152,586,671,545,84,764,698,92,1911,1734,261,1454,1175,149,"36215","36180","34342","36830","40770","148913","143579","130719","146138","153571",5
32,42.5129179941635,37351,"Franklin County, North Carolina",68027,33766,34261,3787,4124,4360,4288,3983,7966,8448,9585,5347,4637,7044,3488,970,41.3,14957,54751,53070,50620,14281,11502,53070,26093,26977,11502,5183,6319,68027,64962,3065,64962,45378,16389,644,72,7,0,0,311,98,8,64,0,33,49,59,97,97,0,0,0,2143,3065,1329,334,188,52,48118,18085,1138,745,97,3119,5875,4084,465,52,1274,62152,43055,16237,246,309,6,295,2004,205,1799,29137,50793,24730,26063,5585,975,1642,2610,358,47485,2637,3752,14137,11765,5148,7271,2775,41096,10046,7966,6870,2022,8448,7415,1957,19569,17291,4476,11502,9520,1591,"33978","35458","37195","38629","41482","1777802","1792087","1729720","1748809","1813445",2
33,27.651536073705,90523,"Hall County, Georgia",201434,100169,101265,13054,13420,15333,14123,13358,26054,25175,26889,12575,11312,17645,9367,3129,37.2,50868,156550,150566,142523,37148,30141,150566,74003,76563,30141,13508,16633,201434,189261,12173,189261,162231,14476,518,146,25,33,0,3836,832,395,274,44,202,1830,259,21,0,18,0,3,8179,12173,2026,771,734,78,173996,16977,1497,4811,154,16467,57471,43083,1285,1262,11841,143963,121398,13964,282,3821,7,510,3981,563,3418,74544,128787,62250,66537,18420,3131,6927,7170,1192,132146,15145,12348,37078,26981,8898,19459,12237,104653,31696,26054,21118,5190,25175,17733,5816,50776,40734,12148,30141,25068,8542,"40915","43214","45513","47263","49925","9553457","10435861","11101726","11843790","12089247",4
34,53.2966415814894,8903,"Cibola County, New Mexico",26763,13549,13214,1660,1853,1690,1730,1613,3859,3558,2844,1626,1831,2806,1198,495,37.5,6262,21351,20501,19425,5500,4499,20501,10519,9982,4499,2005,2494,26763,24935,1828,24935,12330,392,11038,0,11,3955,5,57,0,1,13,3,6,34,0,8,6,0,0,2,1110,1828,35,531,13,48,14094,501,11650,79,8,2285,10389,4456,45,8,5880,16374,5028,325,10439,57,8,19,498,13,485,11432,19921,10154,9767,2284,594,970,687,33,18217,797,2581,5526,4246,1913,2005,1149,14839,3154,3859,3303,864,3558,2728,308,6301,5373,1081,4499,3435,901,"26100","26281","27085","28055","31700","643238","633105","638664","644118","679366",5
35,19.9080459770115,2175,"Pope County, Illinois",4177,2161,2016,128,178,179,184,123,359,432,421,521,372,708,337,235,56.8,614,3607,3563,3462,1573,1280,3563,1877,1686,1280,686,594,4177,4135,42,4135,3861,239,0,0,0,0,0,35,0,0,18,8,0,9,0,0,0,0,0,0,0,42,1,9,22,0,3893,250,9,57,10,0,125,47,61,0,17,4052,3736,239,0,35,0,0,42,0,42,2644,3545,1867,1678,178,45,88,45,0,3385,130,249,1489,733,224,365,195,3006,560,359,323,79,432,429,81,1314,1193,193,1280,1061,207,"28866","30063","31455","32333","37027","60707","65708","64864","64043","65053",6
36,77.1860793455953,206111,"Boulder County, Colorado",324682,163343,161339,14419,17131,18611,25417,33333,45541,40791,41834,21144,19868,28891,11983,5719,36.9,61788,270386,262894,240009,57812,46593,262894,131784,131110,46593,21200,25393,324682,310523,14159,310523,283102,2929,1656,43,13,192,271,15832,3370,5563,713,1267,1630,678,2611,209,151,36,3,19,6795,14159,1767,1955,3666,11,296590,5345,4288,20445,575,12618,44800,32390,1382,1020,10008,279882,250714,2615,1136,15686,194,608,8929,1324,7605,135409,246488,123307,123181,47123,2747,9797,26729,7850,215771,4311,5336,24414,31973,13861,74561,61315,206124,135876,45541,43846,28205,40791,38227,27380,82846,79210,53210,46593,44841,27081,"64804","68856","71974","79698","83173","25053753","26750786","27907249","30381525","30218937",3
37,49.6315036849631,36364,"Lynchburg city, Virginia",80970,37883,43087,4725,4174,4051,8597,14030,11539,7228,7115,4006,3949,6110,3646,1800,28.5,15365,67343,65605,55799,13789,11556,65605,30077,35528,11556,4679,6877,80970,78575,2395,78575,51950,23099,195,47,0,0,0,1963,231,779,94,12,600,141,106,47,41,0,0,6,1321,2395,560,225,586,43,54093,24310,882,2587,179,1932,3530,806,1005,50,1669,77440,50382,22834,163,1934,47,189,1891,90,1801,32533,63349,28911,34438,20212,588,5620,10993,3011,45393,1841,3347,11032,9130,3718,9529,6796,40205,16325,11539,10975,5673,7228,6505,2454,15070,13210,4559,11556,9515,3639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
39,53.4107412068989,1156816,"Miami-Dade County, Florida",2705528,1315460,1390068,157034,147143,154435,155911,165064,384741,370603,394489,184594,151311,234762,139540,65901,40.2,552057,2217106,2153471,2058288,527558,440203,2153471,1034332,1119139,440203,183199,257004,2705528,2416916,288612,2416916,1783928,457814,5273,319,0,27,80,43192,11612,12585,5912,1368,1789,2492,7434,869,74,188,44,563,125840,288612,16051,2701,5305,394,2058954,489390,10673,55100,2694,384038,1843676,59262,87641,973473,723300,861852,365906,421305,2143,41232,661,9752,20853,4790,16063,1032310,1614920,755922,858998,227530,32135,65173,106347,23875,1925941,178065,171699,515319,286151,184402,371822,218483,1576177,590305,384741,347337,136528,370603,324477,130262,730394,610350,220478,440203,294013,103037,"44776","49166","53584","56137","57713","147209632","156600939","166503869","171467755","162634169",1
40,41.7137718396711,7784,"Chowan County, North Carolina",13995,6631,7364,750,593,931,694,392,1770,1612,1564,1121,1090,2038,893,547,46.2,2799,11542,11196,10963,4311,3478,11196,5245,5951,3478,1482,1996,13995,13709,286,13709,8463,4790,65,0,0,0,0,68,0,0,0,0,3,0,65,0,0,0,0,0,323,286,137,22,43,21,8728,4975,134,111,0,360,502,219,27,25,231,13493,8388,4788,65,3,0,0,249,0,249,7322,11016,5119,5897,561,164,176,177,44,10635,657,1060,3467,2045,1099,1439,868,8918,2307,1770,1488,350,1612,1392,245,3775,3329,944,3478,2709,768,"36767","39543","40763","43086","46206","554597","632338","629191","663603","671782",6
41,14.6278870829769,2338,"Dunn County, North Dakota",4362,2356,2006,305,254,333,245,153,620,461,516,436,290,403,226,120,40.1,1058,3441,3304,3220,870,749,3304,1841,1463,749,388,361,4362,4251,111,4251,3671,72,388,0,14,31,12,51,0,0,42,9,0,0,0,14,14,0,0,0,55,111,2,17,7,0,3778,74,409,58,51,103,166,165,0,0,1,4196,3592,72,388,50,14,4,76,13,63,2606,3237,1796,1441,232,20,115,97,0,3072,155,188,1008,740,394,486,101,2729,587,620,603,144,461,415,90,1242,1109,217,749,602,136,"56915","61014","67787","74483","73707","686528","1073885","1376546","1285294","815710",6
43,15.0588235294118,4675,"Mercer County, North Dakota",8359,4252,4107,520,510,530,456,386,868,902,1090,781,704,895,491,226,45.1,1882,6712,6477,6291,2056,1612,6477,3325,3152,1612,756,856,8359,8337,22,8337,7712,56,296,0,129,0,16,26,0,2,16,4,0,0,4,0,0,0,0,0,247,22,4,4,10,0,7734,60,300,36,0,251,229,125,6,6,92,8130,7633,56,295,26,0,98,22,4,18,4824,6419,3314,3105,520,88,84,233,115,5957,197,366,1571,1383,1193,967,280,5394,1247,868,864,241,902,892,287,2575,2414,408,1612,1224,311,"58038","58170","57776","58481","60817","1249074","1227454","1126978","1055944","969615",6
44,62.6074498567335,2094,"Costilla County, Colorado",3810,1994,1816,145,109,248,251,281,358,332,429,310,346,610,340,51,49.6,643,3284,3167,2991,1196,1001,3167,1641,1526,1001,520,481,3810,3221,589,3221,2924,13,78,15,0,0,0,43,0,0,1,37,5,0,0,0,0,0,0,0,163,589,0,154,15,0,3513,80,240,58,0,583,2338,1160,0,0,1178,1472,1280,13,6,42,0,0,131,0,131,2661,3018,1551,1467,391,93,62,201,35,2776,253,169,718,819,154,375,288,2354,663,358,332,109,332,281,26,1085,936,232,1001,805,296,"32559","33700","35678","37326","39705","76943","85120","89280","91709","93778",6
45,22.7878787878788,22275,"Coffee County, Alabama",52238,25815,26423,3225,3072,3935,3209,2861,6901,6631,6977,3289,3278,5233,2710,917,39.5,12352,41328,39886,38314,10680,8860,39886,19474,20412,8860,3944,4916,52238,49961,2277,49961,39014,8906,523,71,0,0,0,843,8,514,73,2,77,152,17,0,0,0,0,0,675,2277,861,592,233,197,41029,10073,1333,1176,89,938,4011,1413,1341,147,1110,48227,36368,8538,468,842,0,42,1969,37,1932,23313,38934,19057,19877,3950,639,1575,1489,247,35936,1543,3615,9876,8510,4584,4993,2815,30778,7808,6901,5886,1198,6631,5891,1781,13544,11804,2910,8860,7197,1919,"39745","40465","41808","43164","45466","1388449","1406454","1453696","1484030","1460027",5
46,50.9785049727302,3117,"Blaine County, Montana",6698,3281,3417,568,584,546,456,393,885,743,656,504,322,635,274,132,33.5,2002,4851,4696,4465,1180,1041,4696,2257,2439,1041,455,586,6698,6593,105,6593,3014,31,3487,0,40,0,135,6,0,0,0,0,6,0,0,0,0,0,0,0,55,105,1,47,0,18,3066,50,3587,6,0,94,231,154,39,0,38,6467,2960,31,3393,6,0,11,66,0,66,2848,4676,2244,2432,545,104,169,261,11,4151,106,321,1163,1038,506,767,250,3724,1017,885,801,146,743,686,199,1482,1372,462,1041,865,210,"26895","27870","28130","28752","32137","150155","161951","179031","173572","173767",6
47,73.5536776838842,99995,"Hinds County, Mississippi",235604,109982,125622,15170,15404,16762,17404,18162,34026,28401,27186,14650,14853,20195,9239,4152,35.3,57025,185097,178579,166539,42860,33586,178579,80929,97650,33586,13892,19694,235604,233511,2093,233511,58510,171899,272,32,0,0,0,1701,764,661,69,28,52,16,111,73,6,15,52,0,1056,2093,932,133,253,117,60168,173367,613,2097,124,1499,3561,2214,267,206,874,232043,56874,171125,249,1692,73,305,1725,122,1603,104356,176420,79796,96624,25877,3250,7136,13384,2107,152702,5455,12635,36321,36475,15681,26350,19785,134612,46135,34026,30335,11186,28401,25338,8108,56689,51274,16105,33586,27665,10736,"38083","37813","38734","40535","44415","12158887","12190447","12325679","12611626","12685053",3
48,23.5141466930979,27745,"Kerr County, Texas",52195,25277,26918,2662,2388,3172,2983,3072,5584,4857,5657,3322,4182,7638,4739,1939,48,10009,43361,42186,40259,16937,14316,42186,20141,22045,14316,6597,7719,52195,48746,3449,48746,44011,830,214,0,0,0,13,393,192,50,43,7,9,15,77,15,15,0,0,0,3283,3449,109,817,188,0,47304,990,1340,713,84,5507,14282,12474,205,6,1597,37913,35550,814,72,386,15,220,856,141,715,24796,40048,18923,21125,4268,567,1991,1590,120,37918,1545,2505,10714,9736,2731,6890,3797,33868,10687,5584,5100,1297,4857,4227,1112,13161,11596,3207,14316,12945,5071,"47310","50409","52110","54721","57402","1818766","1916362","2089877","2242322","2314894",5
